CID	Problem	Solution	Image URL	Image Summary
876	Our school is facing drinking water scarcity since long.. Tape water is not available in the school.our school manages water by buckets or by tankers.. The Village in which school is located has been divided into three habitations or Mohlas Dodder Mohala,Khoja Mohlas And Raja Mohlas.. The School is located in Raja Mohla which is situated on High altitude as compared to the other two habitations or Mohlas.Two habitations among the three recieve frequent supply of tap water but the School habitation couldn't receive enough water to full fill the demand of water in the school.. Due this problem the inhabitants of the School habitation and School itself suffers a lot.	The village have about 10 natural water springs excreting pure crystal clear water continuously.The water flows 24×7 and gets wasted due to miss management.If that water is collected in a well constructed water bowl at spring site,then lifted through water pump and supplied to the school and inhabitants of school habitation.. water crisis in the school and school habitation will resolve for ever in the area.	https://drive.google.com/uc?export=download&id=1zGk2zzfGsObr34CiRTdVTNtDhGBgwdfy	"- The image shows a student filling a plastic bottle with water from a pipe, likely a natural spring.
- It appears to be a student-made demonstration of the proposed solution.
- The student is conveying the practical aspect of collecting water from the natural spring to address the water scarcity issue.
- The image supports the stated problem and solution by illustrating the direct action of utilizing available water resources to alleviate the water crisis in the school and surrounding habitation."
940	rajasthan main water ki kami hai	Drip Irrigation:- faldaal podho bagicho avm vraksho main pani dene ka sarvotam tarika hai. isse podho ko boond boond karke jal prapt hota hai	https://drive.google.com/uc?export=download&id=1MPPLxcvzjI0n7Xx0iziXcvncrXLf4lox	"- The image shows a diagram illustrating a drip irrigation system.
- It appears to be a student-made sketch, likely created for a school project.
- The student conveys that drip irrigation is an effective method for providing water to plants, specifically in the context of water scarcity in Rajasthan.
- The diagram supports the problem statement by visually representing how water is delivered to plants, reinforcing the proposed solution."
950	This project may give solution to burning problem of drying clothes in rainy season. As iam hosteler I unable to dry my clothes in rainy season	"Rain sensor detects rain and sends signals to arduino
 Arduino activates relay module
 Relay module control Motor to close/open water resistant cover
 Clothes are protected form rain"	https://drive.google.com/uc?export=download&id=1ZIU8lf7xycM3sTsH6eHI8lpJOhDNLE9y	"- The image shows a prototype of a model house with a clothes drying setup.
- It appears to be a student-made proof of concept (POC) using craft materials.
- The student is demonstrating a rain sensor mechanism that activates a motor to close/open a cover, protecting clothes from rain.
- The model effectively illustrates the proposed solution to the problem of drying clothes during the rainy season."
1827	मैं अभी एक हफ्ते के लिए मनाली टूर में फैमिली के साथ गया थाl इस टूर में हमारा आधे से ज्यादा सफर ट्रेन में हुआ, जिससे मैं ट्रेन में यह देखा कि सफर के दौरान हमारे रिजर्वेशन सीट के पास ही ट्रेन का टॉयलेट था जिसमें से गंदी बदबू आ रही थी जब मैं बाथरुम गया तब वहां देखा की टॉयलेट में बहुत ज्यादा गंदगी थी लोग टॉयलेट का उपयोग करके फ्लश(पानी का उपयोग ) किए बिना बाहर आ जाते थे जिसके कारण बदबू न केवल टॉयलेट में बल्कि पास की बोगी में भी होने लगा l	हमारी टीम ने इस समस्या को सुलझाने के लिए यहां एक आसान तरीका ढूंढा जिसमें हमने टॉयलेट के फ्लश को और टॉयलेट के दरवाजा को इस तरह से मैनेज किया की अगर व्यक्ति टॉयलेट को फ्लश किए बिना चला जाता है तो जैसे ही वह दरवाजा खोलेगा फ्लश ऑटोमेटिक ऑन हो जाएगा और फ्लश के कंप्लीट होने के कुछ सेंकड बाद दरवाजा वापस लॉक हो जाएगा l जिससे ट्रेन के सभी यात्रियों को टॉयलेट जाने में सुविधा होगी l	https://drive.google.com/uc?export=download&id=14DDtr8_lZRvGn_GeG9vL4-d0wCMaZwXI	"- The image shows a 3D model of a toilet setup, likely representing the proposed solution for the train toilet issue.
- It appears to be a student-made prototype, as indicated by the colorful and creative design.
- The student is conveying their innovation by illustrating the toilet design, which includes features like an automatic flush mechanism and a door.
- The model supports the stated problem by visually representing how the solution aims to maintain cleanliness and reduce odor in train toilets."
2428	हमारी समस्या यह है कि कई बार लोगों के घर में सिलेंडर खत्म हो जाता है तो और उस वक्त दूसरे घर से लाने में दिक्कत होती है इस विषय पर है।	इस समस्या का सुझाव हमने बहुत अच्छी तरीके से की है। हमारी टीम ने सिलेंडर के ऊपर एक मीटर लगाया है। उस मीटर से पता चलता रहे की सिलेंडर के अंदर कितनी गैस बाकी है इससे बहुत सारे घरों के अंदर मदद भी होगी मदद इसलिए होगी कि जब उनके के घर में सिलेंडर खत्म होने वाला होगा तो वह लोग पहले से ही एक सिलेंडर खरीद लेंगे।अतः यह हमारी समस्या का सुझाव है।	https://drive.google.com/uc?export=download&id=1LSreaaYr0b8xgGBnaQ4PURf4yM2KiU3p	"- The image shows a drawing of a gas cylinder with a gauge attached to it, indicating the remaining gas level.
- It appears to be a student-made illustration, likely created for a presentation.
- The student is conveying their innovation of a gas meter that helps users monitor the gas level in their cylinders, preventing unexpected shortages.
- The image effectively supports the stated problem and solution by visually representing the proposed device and its function."
2535	पौधों को पानी देने के लिए कुशल और विश्वसनीय प्रणालियों की कमी से या तो ज़रूरत से ज़्यादा पानी या कम पानी मिल सकता है, जो पौधों के स्वास्थ्य, विकास और उपज पर प्रतिकूल प्रभाव डालता है। सौर पैनलों द्वारा संचालित नमी सेंसर एक समाधान प्रदान कर सकते हैं, लेकिन उनके कार्यान्वयन में चुनौतियाँ उनकी प्रभावशीलता और विश्वसनीयता को सीमित कर सकती हैं। पारंपरिक सिंचाई विधियों पर निर्भरता अक्सर कृषि और बागवानी में अकुशल जल उपयोग की ओर ले जाती है, जिसके परिणामस्वरूप पौधों को ज़रूरत से ज़्यादा पानी या कम पानी मिल पाता है। जबकि सौर पैनलों द्वारा संचालित नमी सेंसर वास्तविक समय की मिट्टी की नमी के स्तर के आधार पर पानी देने को स्वचालित करने के लिए एक आशाजनक समाधान प्रदान करते हैं, कई चुनौतियाँ उनकी प्रभावशीलता में बाधा डालती हैं। इन चुनौतियों में असंगत सौर ऊर्जा आपूर्ति, अंशांकन समस्याएँ, तकनीकी विफलताएँ और उपयोगकर्ता की समझ की कमी शामिल है। नतीजतन, इसका परिणाम पौधों के खराब स्वास्थ्य, संसाधन की बर्बादी, आर्थिक नुकसान और पर्यावरण क्षरण होता है। विश्वसनीयता और दक्षता को बढ़ाने की सख्त ज़रूरत है।	"प्रस्तावित समाधान एक एकीकृत सौर-संचालित नमी सेंसर सिंचाई प्रणाली है जो वास्तविक समय की मिट्टी की नमी के स्तर के आधार पर पानी देने की प्रक्रिया को स्वचालित करती है। यह प्रणाली उन्नत नमी सेंसर, कुशल सौर पैनल और स्मार्ट सिंचाई तकनीकों को जोड़ती है ताकि संसाधनों की बर्बादी को कम करते हुए इष्टतम संयंत्र जलयोजन सुनिश्चित किया जा सके।
 यह कैसे काम करता है...1. नमी सेंसर: - स्थापना: नमी की मात्रा को सटीक रूप से मापने के लिए मिट्टी में विभिन्न गहराई पर नमी सेंसर लगाए जाते हैं।
 2. सौर ऊर्जा आपूर्ति: - सौर पैनल। उच्च दक्षता वाले सौर पैनल नमी सेंसर और सिंचाई प्रणाली को शक्ति प्रदान करते हैं। वे सूर्य के प्रकाश के संपर्क को अधिकतम करने के लिए तैनात किए जाते हैं, जिससे विश्वसनीय ऊर्जा उत्पादन सुनिश्चित होता है। - ऊर्जा भंडारण: एक रिचार्जेबल बैटरी दिन के दौरान उत्पन्न अतिरिक्त ऊर्जा को बादल मौसम या रात के समय सिस्टम को शक्ति प्रदान करने के लिए संग्रहीत करती है।3. डेटा प्रोसेसिंग और सिंचाई नियंत्रण: 4, उपयोगकर्ता इंटरफ़ेस
 ,यह किसकी मदद करता है
 1. किसान और कृषि श्रमिक:
 2. माली और बागवानी विशेषज्ञ
 3, शहर"	https://drive.google.com/uc?export=download&id=1dDjlkaQVCFOCl1lcS125zI1MHjQT2Ke-	"- The image shows a prototype of a solar-powered moisture sensor irrigation system. 
- It includes a moisture sensor inserted into a pot, connected to an Arduino board, indicating a student-made proof of concept. 
- The student is conveying the functionality of real-time soil moisture measurement and automated irrigation. 
- The setup visually supports the stated problem of inefficient watering by demonstrating a practical solution with the moisture sensor and Arduino."
2539	शहर में कई लोग ट्रैफिक सिग्नल के पास बिना सिग्नल के ही चले जाते हैं जिससे दुर्घटना होने की आशंका रहती है इसके लिए हमने स्मार्ट ट्रैफिक सिस्टम बनाया है जो एक ही सिग्नल को ही जाने देता है उसके बाद बाकी सिग्नल बंद हो जाता है जिससे घटना होने की संभावना बहुत कम हो जाती है	स्मार्ट ट्रैफिक सिस्टम में अगर सिग्नल बाय साइड की और है तो वह ऑटोमेटिक बाकी सभी रास्तों को गेट के द्वारा बंद कर देता है जिससे कोई भी गाड़ी सवार व्यक्ति बिना सिग्नल के रास्ता पार नहीं कर सकता है जिससे सिग्नल पर होने वाले घटनाएं को बहुत ही काम किया जा सकता है क्योंकि एक ही साइड से वाहनों का जाना हो सकता है जिससे उनके टकराने की संभावना बहुत ही काम हो जाएगी और सड़क में होने वाली घटनाओं को कम किया जा सकता है जिससे मनुष्य की जनहानि बहुत कम होगी यह मनुष्य के लिए बहुत लाभदायक है खासकर वाहन चलाने वालों के लिए यह हमारे प्रोजेक्ट का एक आइडिया है जिसे हमने प्रोटोटाइप के रूप में बनाया है यह ट्रैफिक संबंधित होने वाली दुर्घटनाओं को बहुत काम कर देता है यही स्मार्ट ट्रैफिक सिस्टम है	https://drive.google.com/uc?export=download&id=1gQDp19vrzZrnDtCpzIqnmKkrRxWvwmZl	"- The image shows a prototype of a smart traffic system model.
- It appears to be a student-made proof of concept (POC).
- The model includes a central pole with traffic lights and a 'STOP' sign, illustrating the traffic control mechanism.
- The student aims to convey how this system manages traffic flow by allowing only one direction to proceed while blocking others, reducing accident risks.
- The image effectively supports the stated problem and solution by visually representing the innovative approach to traffic management."
2821	"औद्योगिक कार्यशालाओं में, आरा मशीनों का उपयोग आम तौर पर सामग्री काटने के लिए किया जाता है। हालाँकि, ये मशीनें ऑपरेटरों के लिए महत्वपूर्ण सुरक्षा जोखिम पैदा करती हैं, जिसमें आकस्मिक हाथ की चोट एक बड़ी चिंता का विषय है। आपातकालीन स्टॉप बटन या सुरक्षात्मक गार्ड जैसे पारंपरिक सुरक्षा तंत्र दुर्घटनाओं को रोकने के लिए पर्याप्त तेज़ी से प्रतिक्रिया नहीं कर सकते हैं।
 
 इस परियोजना का उद्देश्य एक *अल्ट्रासोनिक सेंसर* और *Arduino* का उपयोग करके एक *वास्तविक समय सुरक्षा प्रणाली* को डिज़ाइन और कार्यान्वित करना है। यदि कोई वस्तु (जैसे ऑपरेटर का हाथ) आरा ब्लेड के **30 सेमी* के भीतर आती है, तो सिस्टम स्वचालित रूप से आरा मशीन को रोक देगा, जिससे संभावित चोटों को रोका जा सकेगा। इसके अतिरिक्त, अतिरिक्त सुरक्षा के लिए एक *मैनुअल आपातकालीन स्टॉप बटन* एकीकृत किया जाएगा। मोटर केवल तभी संचालन फिर से शुरू करेगी जब वस्तु निर्दिष्ट सुरक्षा दूरी से आगे बढ़ जाएगी।1. ब्लेड के 30 सेमी के भीतर किसी वस्तु या हाथ का पता चलने पर आरा मोटर को रोककर दुर्घटनाओं को रोकें।"	"हमारा समाधान एक *स्वचालित सुरक्षा प्रणाली* है जो ब्लेड के *30 सेमी* के भीतर किसी वस्तु या हाथ के आने पर आरा मोटर को रोक देती है। यह प्रणाली एक *अल्ट्रासोनिक सेंसर (HC-SR04), **Arduino UNO, और एक **रिले मॉड्यूल* का उपयोग करके बनाई गई है जो आरा ब्लेड का अनुकरण करने वाली 5V DC मोटर को नियंत्रित करती है। इसके अतिरिक्त, एक *आपातकालीन स्टॉप बटन* तत्काल शटडाउन के लिए मैन्युअल नियंत्रण प्रदान करता है।
 ### *समाधान कैसे काम करता है:*
 1. *ऑब्जेक्ट डिटेक्शन:*
 - यदि ऑपरेटर का हाथ *30 सेमी* के भीतर आता है, तो तरंगें वापस उछलती हैं, और Arduino गणना करता है कि यदि दूरी *30 सेमी* से कम है, तो Arduino मोटर को *बंद* करने के लिए **रिले मॉड्यूल* को ट्रिगर करता है।
 2. *स्वचालित मोटर नियंत्रण:*- यदि 30 सेमी के भीतर कोई हाथ नहीं पाया जाता है, तो मोटर सामान्य रूप से चलती है।
  3. *आपातकालीन स्टॉप बटन:*
 
 *समाधान किसकी मदद करता है:*
 1. मशीन ऑपरेटर:
 
 2. कार्यशाला प्रबंधक और पर्यवेक्षक:
 
 3. कंपनी के मालिक:
 
 *समाधान समस्या का समाधान कैसे करता है:*
 दुर्घटना की रोकथाम: स्वचालित नियंत्रण: न्यूनतम डाउनटाइम:बेहतर सुरक्षा"	https://drive.google.com/uc?export=download&id=1AvbWuh2kzhATruryUzC-L3KdRmirSO_B	"- The image shows a prototype setup for an automatic safety system using an Arduino board, ultrasonic sensor, and additional components.
- It appears to be a student-made proof of concept (POC).
- The student is conveying the functionality of the system, demonstrating how the ultrasonic sensor is integrated with the Arduino to detect objects within 30 cm and control a motor.
- The image supports the stated problem and solution by visually representing the components involved in the safety mechanism, illustrating the practical application of the proposed solution."
5947	यदि कही किसी दुर्घटना से आग लग जाय और यदि इसका सही समय में समाधान न किया जाय तो यह भयंकर रूप धारण कर लेती है। यदि किसी जगह पर आग लग जाती है और हमे उसका पता नही है तो यह धीरे धीरे विशाल रूप धारण कर लेता है जहा आग लगा है उसके साथ आस पास का पूरा क्षेत्र बर्बाद हो जाता है।	"हमने इस समस्या के समाधान के लिए एक स्मार्ट डिवाइस जिसका नाम है फायर अलर्ट सिस्टम का निर्माण किया है। यह स्मार्ट उपकरण है यह जिस नंबर से कनेक्ट है उसे नंबर पर आग लग जाने पर मैसेज और कॉल करता है जिससे हमें पता चल जाता है आग लगी है और हम फायर ब्रिगेड के पास कॉल कर सकते हैं और इसे होने वाले भयंकर परिणाम को रोक सकते हैं।
 यह फायर या स्मोक को डिटेक्ट करता है उसके बाद अलर्ट सिग्नल भेजता है। हम दुनिया के किसी भी कोने पर होंगे हमे इसका मैसेज,कॉल प्राप्त होगा।"	https://drive.google.com/uc?export=download&id=1Fp2KwYZ7l8piN5svb9c2ZESOsJpf9M0C	"- The image shows a model setup for a fire alert system prototype.
- It appears to be a student-made proof of concept (POC) using craft materials.
- The student is conveying the functionality of their fire alert system, which detects smoke or fire and sends alerts.
- The model visually represents the environment where the device would be used, supporting the problem of unnoticed fires and the proposed solution."
6869	भूकंप एक प्राकृतिक आपदा है जो किसी भी समय और किसी भी स्थान पर आ सकती है।	भूकंप अलार्म भूकंप आने के समय बजने लगता है जिससे समय रहते लोग घरों से लोग सुरक्षित स्थान पर जा सकते हैं।	https://drive.google.com/uc?export=download&id=1Oq-zp14KYtwHoLGoKs9f1Foi3N3SxATb	"- The image shows two students presenting their prototype for an earthquake alarm system. 
- The prototype includes a model of a house and a mechanism that likely represents the alarm. 
- It appears to be a student-made proof of concept (POC). 
- The students are conveying the importance of their innovation in alerting people during an earthquake to ensure their safety. 
- The image effectively supports the stated problem and solution by visually representing the proposed earthquake alarm system."
7766	हमारे गांव में एक महिला अपने किचन में गैस में दूध चढ़ा कर चली चली गई थी तो हवा के कारण गैस के बजने से पूरे किचन में एलपीजी गैस फैल जाता है । फिर वह महिला वापस किचन में आती है तो उसने देखा कि गैस बुझ चुका था फिर उसने गैस जलाने के लिए लाइटर में क्लिक किया फिर वहां ब्लास्ट हुआ जिससे उस महिला के साथ दुर्घटना हो गई ।	यह गैस सेफ्टी डिवाइस गैस के रिसाव को सेंस करके रेगुलेटर को ऑफ करेगा और एक बजर बजेगा । जिससे अगर कोई व्यक्ति आसपास हो तो उसे पता चल जाएगा कि यहां गैस रिसाव हुआ है। जिससे दुर्घटना होने के संभावना कम हो जाएगी । यह किचन में काम करने वाले महिलाओं , वर्कर सभी के लिए उपयोगी है ।	https://drive.google.com/uc?export=download&id=1Zg0Tyri5EcilJwdoOjhf4VT_D5d-5MVb	"- The image shows a prototype of a gas safety device inside a cardboard box.
- It appears to be a student-made proof of concept (POC) with various electronic components and wiring visible.
- The student is conveying their innovation as a safety mechanism that detects gas leaks and automatically shuts off the gas regulator while sounding an alarm.
- The image effectively supports the stated problem and solution by visually representing the device designed to prevent accidents related to gas leaks in kitchens."
9468	"""टच इलेक्ट्रिक बोर्ड"" एक प्रकार का इंटरएक्टिव बोर्ड है, जिसका उपयोग शिक्षा, कार्यस्थल, और अन्य इंटरएक्टिव उद्देश्यों के लिए किया जाता है। यह आमतौर पर एक डिजिटल डिस्प्ले के रूप में होता है, जिसे टचस्क्रीन तकनीक के माध्यम से नियंत्रित किया जा सकता है। इसमें किसी भी प्रकार के कंटेंट (जैसे कि टेक्स्ट, इमेज, वीडियो आदि) को प्रदर्शित किया जा सकता है और उसे टच स्क्रीन से इंटरैक्ट करके उपयोग किया जा सकता है। यह खासकर क्लासरूम, मीटिंग रूम, और कॉन्फ्रेंस में काम आता है।"	"TOUCH ELECTRIC BOARD एक इंटरेक्टिव और स्मार्ट तकनीक है जो विद्युत उपकरणों के संचालन को टच स्क्रीन के माध्यम से नियंत्रित करने की सुविधा प्रदान करती है। इसका उद्देश्य पारंपरिक स्विच और कंट्रोल सिस्टम की जगह एक अधिक उन्नत, यूजर-फ्रेंडली, और स्मार्ट समाधान देना है। इलेक्ट्रिक बोर्ड में एक डिजिटल टच स्क्रीन होती है, जो उपयोगकर्ता को सीधे स्क्रीन पर टच करने के माध्यम से विभिन्न विद्युत उपकरणों को नियंत्रित करने की सुविधा देती है।विद्युत सर्किट से जुड़ी जानकारी को प्रोसेस करके सही आदेश भेजते हैं। जैसे ही आप स्क्रीन पर किसी बटन को टैप करते हैं, यह सिग्नल विद्युत सर्किट को मिलता है और संबंधित उपकरण सक्रिय या निष्क्रिय हो जाता है, मदद करता है-घरों में,ऑफिस और इंडस्ट्रियल सेटिंग्स में,विशेष आवश्यकताओं वाले व्यक्तियों के लिए,
 यह समस्या को सुलझाएगा-1कम्फर्ट और कंवीनियंस- किसी भी स्विच को ढूंढ़ने या हाथ से चलाने की जरूरत नहीं, बस टच करें और उपकरण चालू हो जाएगा। 2.स्मार्ट एनर्जी मैनेजमें3.रिमोट कंट्रोल 4.एक्सेसिबिलिटी
 इस तरह से एक स्मार्ट, सुविधाजनक, और ऊर्जा की बचत करनेकरने वाला समाधान है"	https://drive.google.com/uc?export=download&id=1DoCtnpVQ7QE-3NW1FoeAC7Yu89joPswT	"- The image shows a prototype of a touch switch connected to a light bulb.
- It appears to be a student-made proof of concept (POC).
- The student is conveying the functionality of a touch-based control system for electrical devices, aligning with their proposed solution of a TOUCH ELECTRIC BOARD.
- The image effectively supports the stated problem and solution by demonstrating the practical application of a touch switch, emphasizing convenience and user-friendliness."
